"Id","Sales"
1,5281
2,8797
3,10465
4,7044
5,7519
6,6280
7,9125
8,9225
9,6335
10,6638
11,7844
12,9065
13,7886
14,8855
15,6890
16,5390
17,6708
18,11228
19,12835
20,11737
21,8769
22,6273
23,6683
24,5141
25,9420
26,11991
27,10029
28,7232
29,6275
30,5388
31,5959
32,12093
33,8344
34,6121
35,6550
36,8455
37,4572
38,8308
39,5087
40,7319
41,8613
42,6294
43,8105
44,7547
45,5317
46,7870
47,8019
48,12001
49,6765
50,9619
51,7901
52,10865
53,7790
54,11106
55,5888
56,5559
57,7434
58,6556
59,10288
60,8899
61,6688
62,8614
63,7319
64,11300
65,4540
66,15099
67,5793
68,6854
69,9687
70,6484
71,7329
72,7469
73,8694
74,5909
75,5939
76,8610
77,8580
78,8724
79,5340
80,8032
81,11918
82,7406
83,5170
84,7901
85,6551
86,7832
87,7795
88,4703
89,9256
90,7046
91,8415
92,7620
93,5152
94,7910
95,6337
96,8661
97,10618
98,5796
99,6107
100,7104
101,6729
102,6670
103,9404
104,7755
105,8622
106,6642
107,5309
108,7744
109,8814
110,9896
111,9243
112,9435
113,6728
114,9813
115,7123
116,9295
117,10175
118,7909
119,11601
120,8738
121,9424
122,6764
123,8134
124,9256
125,7805
126,4727
127,6536
128,9300
129,8188
130,5918
131,10425
132,7519
133,6352
134,6573
135,6630
136,8709
137,8248
138,8268
139,6111
140,5739
141,7809
142,4467
143,7446
144,6067
145,10236
146,8286
147,7289
148,9760
149,6691
150,5393
151,12336
152,8216
153,9382
154,8646
155,5923
156,6846
157,6188
158,8639
159,13742
160,6826
161,3847
162,5679
163,9652
164,10600
165,7654
166,8543
167,5293
168,6154
169,3725
170,5896
171,6660
172,7584
173,8561
174,7219
175,8826
176,10206
177,8515
178,5655
179,10747
180,13665
181,7555
182,9070
183,5940
184,7449
185,5211
186,8801
187,6524
188,9823
189,8175
190,10327
191,9461
192,6051
193,10295
194,21179
195,12840
196,7288
197,3445
198,7182
199,11627
200,6427
201,12136
202,20981
203,3873
204,6364
205,9858
206,6039
207,11572
208,8024
209,8578
210,3888
211,8552
212,7656
213,8412
214,10717
215,6995
216,6539
217,7836
218,6432
219,5556
220,8795
221,6740
222,7273
223,8746
224,7081
225,6162
226,8451
227,8561
228,9509
229,6799
230,7874
231,6366
232,4344
233,7516
234,8358
235,6123
236,5159
237,11172
238,8667
239,10691
240,7771
241,6825
242,6294
243,4997
244,11744
245,5912
246,8903
247,16979
248,8208
249,7787
250,5569
251,5324
252,8536
253,4762
254,7407
255,11405
256,6239
257,18174
258,16586
259,5436
260,8592
261,5807
262,7753
263,6453
264,12373
265,8630
266,10539
267,5492
268,7860
269,5173
270,9713
271,8197
272,7163
273,7403
274,5794
275,9662
276,10629
277,6155
278,12161
279,7463
280,10737
281,5352
282,6365
283,6398
284,12182
285,7545
286,8915
287,8252
288,10294
289,4972
290,9139
291,7098
292,4687
293,16955
294,19118
295,8841
296,9645
297,11376
298,12239
299,12100
300,7124
301,9047
302,6887
303,9647
304,4698
305,6812
306,6509
307,6420
308,8836
309,5736
310,5899
311,6918
312,4420
313,5500
314,6406
315,8015
316,10692
317,9545
318,8310
319,6925
320,6985
321,12692
322,9313
323,6703
324,5021
325,9914
326,5051
327,7736
328,3849
329,6253
330,9582
331,7058
332,6165
333,9592
334,10821
335,12821
336,6777
337,10594
338,3918
339,6141
340,7224
341,5168
342,8927
343,6263
344,5805
345,10167
346,13396
347,9831
348,6195
349,6487
350,9016
351,7776
352,7362
353,5588
354,8229
355,11565
356,5372
357,7417
358,9148
359,9771
360,14948
361,6935
362,14976
363,8100
364,5892
365,4436
366,7421
367,7300
368,6135
369,8194
370,5370
371,5273
372,8125
373,4273
374,8695
375,7854
376,9161
377,9718
378,6331
379,10471
380,7274
381,5753
382,5655
383,6325
384,12513
385,7434
386,5744
387,9348
388,9893
389,8162
390,7636
391,9907
392,6046
393,5859
394,6861
395,9879
